PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PERCENT_INHIBITION
RESULT_TYPE,,,,,,,FLOAT
RESULT_DESCR,,,,,,,Percent Inhibition of HUTS-21 antibody binding
RESULT_UNIT,,,,,,,PERCENT
549,842758,645033,Inactive,1,,,1.23
550,842759,645034,Inactive,0,,,-43.58
551,842761,645036,Inactive,0,,,-5.81
552,842762,645037,Inactive,0,,,-2.42
553,842763,645038,Inactive,11,,,11.01
554,842764,645039,Inactive,0,,,-4.1
555,842765,645040,Inactive,0,,,-1.19
556,842766,599759,Inactive,0,,,-3.05
557,842767,645041,Inactive,3,,,2.84
558,842768,645042,Inactive,3,,,3.49
559,842769,645043,Inactive,0,,,-3.39
560,842770,645044,Inactive,13,,,13.31
561,842773,645047,Inactive,0,,,-13.78
562,842774,645048,Inactive,40,,,39.57
563,842775,645049,Inactive,0,,,0.24
564,842777,645051,Inactive,22,,,21.75
565,842778,645052,Inactive,2,,,2.21
566,842779,645053,Inactive,0,,,0.06
567,842780,645054,Inactive,5,,,4.62
568,842781,645055,Inactive,0,,,-1.33
569,842782,645056,Inactive,5,,,4.91
570,842783,645057,Inactive,2,,,1.86
571,842785,645059,Inactive,18,,,18.24
572,842786,645060,Inactive,5,,,4.58
573,842787,645061,Inactive,1,,,1.04
574,842789,645063,Inactive,12,,,12.24
575,842791,114250,Inactive,4,,,4.01
576,842794,645067,Inactive,7,,,7.33
577,842795,645068,Inactive,0,,,-2.27
578,842796,645069,Inactive,3,,,2.89
579,842797,645070,Inactive,0,,,-0.5
580,842798,645071,Inactive,13,,,13.23
581,842799,645072,Inactive,2,,,2.37
582,842800,645073,Inactive,16,,,15.61
583,842801,645074,Inactive,6,,,6.28
584,842803,645076,Inactive,5,,,5.22
585,842804,5769296,Inactive,0,,,-12.85
586,842805,645078,Inactive,6,,,5.64
587,842806,645079,Inactive,10,,,9.89
588,842807,645080,Inactive,2,,,1.52
589,842808,550273,Inactive,7,,,6.94
590,842809,645081,Inactive,22,,,21.88
591,842810,645082,Inactive,0,,,0
592,842811,645083,Inactive,1,,,1.38
593,842812,645084,Inactive,0,,,-0.37
594,842813,645085,Inactive,0,,,-0.89
595,842814,645086,Inactive,0,,,-5.39
596,842815,645087,Inactive,4,,,3.69
597,842816,645088,Inactive,0,,,-11.19
598,842817,645089,Inactive,0,,,-2.87
599,842818,645090,Inactive,12,,,12.01
600,842819,645091,Inactive,0,,,-0.25
601,842821,645093,Inactive,8,,,7.82
602,842822,645094,Inactive,8,,,7.89
603,842823,5767374,Inactive,12,,,11.77
604,842824,645096,Inactive,6,,,5.91
605,842826,645098,Inactive,0,,,-1.99
606,842828,54682383,Inactive,0,,,-10.63
607,842829,645101,Inactive,0,,,-4.3
608,842830,645102,Inactive,14,,,14.2
609,842831,645103,Inactive,8,,,7.97
610,842832,645104,Inactive,1,,,0.83
611,842835,6603111,Inactive,12,,,11.68
612,842836,6602536,Inactive,18,,,17.8
613,842837,2881163,Inactive,7,,,6.91
614,842838,645114,Inactive,0,,,-4.08
615,842839,645116,Inactive,0,,,0.01
616,842840,645117,Inactive,0,,,-8.83
617,842841,645118,Inactive,2,,,2.32
618,842842,645119,Inactive,0,,,-7.13
619,842843,645120,Inactive,9,,,9.46
620,842844,645121,Inactive,13,,,13.14
621,842845,645122,Inactive,1,,,0.66
622,842848,645125,Inactive,0,,,-0.08
623,842849,645126,Inactive,14,,,13.55
624,842850,645127,Inactive,0,,,-3.18
625,842851,645128,Inactive,0,,,-3.19
626,842853,645130,Inactive,4,,,3.63
627,842854,645131,Inactive,0,,,-10.06
628,842855,645132,Inactive,0,,,-11.56
629,842856,645133,Inactive,15,,,15.03
630,842857,645134,Inactive,20,,,19.94
631,842858,645135,Inactive,0,,,-4.24
632,842859,645136,Inactive,10,,,10.07
633,842860,645137,Inactive,4,,,4.39
634,842861,645138,Inactive,0,,,-13.2
635,842862,645139,Inactive,15,,,15.15
